url,status,error,keywords,business_name,products_services,target_audience,location,headers,emails,phones,top_competitors,gmb_setup,non_indexed_pages
peachonaleash.com,success,,"['peach on a leash dog training alpharetta ga', 'dog training services atlanta north', 'puppy training classes alpharetta', 'dog obedience training north atlanta', 'aggressive dog training georgia']",Peach on a Leash Dog Training and Behavior Services,"Dog training, puppy training, manners & obedience, leash training, aggression & reactivity, fearful & shy dogs therapy dog training, board & train, in-home private dog training, group classes for puppies and adult dogs.","Individuals and families seeking effective, humane dog training solutions in the Metro Atlanta and northern suburbs area, including Alpharetta, Roswell, Johns Creek, Cumming, Canton, Peachtree Corners, Buford, Hoschton, Dunwoody, Gainesville, Flowery Branch, Sandy Springs, Chamblee, Brookhaven, Decatur, Midtown Atlanta, Buckhead, Suwanee, Lawrenceville, East Cobb, Duluth, Smyrna, Marietta, Dawsonville, Woodstock.","Alpharetta, Georgia and serving Metro Atlanta and its northern suburbs",[],['info@peachonaleash.com'],[],[],False,0.0
peachorchardapartments.com,success,,"['peach orchard apartments augusta ga', 'apartments near augusta mall', 'luxury apartments in augusta ga', 'pet friendly apartments augusta ga', 'amazing amenities at peach orchard']",Peach Orchard Apartments,"Apartments for rent, Luxury Living at Affordable Prices","Individuals and families seeking rental apartments in Augusta, GA with luxury amenities like a swimming pool, fitness center, dog park and convenient location near shopping, dining, and hotels.","Augusta, Georgia",[],['peachorchard@gatewaymgt.com'],[],[],True,100.0
peachpaperdesign.com,success,,"['unique wedding stationery designs', 'custom wedding invitation design services', 'small business branding services', 'graphic design for wedding invitations', 'modern branding solutions for creative businesses']",Peach Paper & Design,"wedding invitation design, small business branding, custom stationery, print shop services",thoughtful couples planning weddings and creative business owners seeking modern branding solutions,United States,[],[],[],[],False,0.0
peachperfectskincare.com,success,,"['west hills brazilian bikini wax', 'peach perfect european facial west hills ca', 'full body waxing west hills california', 'eyebrow shaping west hills los angeles', 'spa body treatments west hills ca']",Peach Perfect,"Full Leg Waxing, Brazilian Bikini Wax, Eyebrow Waxing & Shaping, European Facials, Spa Body Treatments","Women and men seeking professional waxing, facial, and body treatment services in West Hills, CA.","West Hills, CA",[],[],[''],[],True,0.0
peachpitgym.com,success,,"['gymnastics classes atlanta', 'cheerleading teams georgia', 'dance studios st. simons island', 'tumbling camps summer', 'all star cheerleading programs']","THE PEACH PIT GYMNASTICS, LLC","Gymnastics, Cheerleading, Dance, Ninja, Trampoline & Tumbling Studio","Children and adults of all ages interested in gymnastics, cheerleading, dance, ninja, trampolining and tumbling classes and camps in Atlanta, GA area.","Atlanta, Georgia",[],"['manager@peachpitgym.com', 'dance@peachpitgym.com', 'theprado@peachpitgym.com', 'ssi@peachpitgym.com']",[''],[],True,0.0
peachpitmusic.com,success,,"['peach pit magpie album download', 'peach pit every little thing song lyrics', 'peach pit did you love somebody mp3', 'peach pit new music 2021', 'peach pit tour dates']",Peach Pit,"Music, albums, singles, concert tickets",Young adults and millennials interested in indie rock music.,"Not mentioned, likely United States based on website domain.",[],[],[],[],False,0.0
peachpitpotteryshop.com,success,,"['handmade pottery for sale', 'customizable pottery online', 'personalized ceramic mugs', 'unique wedding gifts handmade', 'gifts for art lovers']",peach pit shop,"handmade pottery, customizable ceramics, personalized mugs, unique wedding gifts, gifts for art lovers","Individuals and families looking for unique, handmade gifts for various occasions.",United States,[],['info@peachpitpotteryshop.com'],[],[],True,5.0
peach-pump.com,success,,"['seamless grey leggings', 'black seamless leggings', 'seamless brown sports bra', 'black sports bra with 3D inverted seams', 'seamless black sports bra']",Peach Pump,"Gym clothing, yoga clothing, seamless leggings.","Individuals and families seeking comfortable, stylish athletic wear for workouts or daily wear.",Bulgaria,[],[],[],[],True,0.0
peachstatebasketball.com,success,,"['peach state basketball events', 'brand clay scouting showcases atlanta', 'brand clay elite 100 showcase indiana', 'brand clay grassroots alliance', 'bc lay brand marketing profiles']",Peach State Basketball,"Brandon Clay Showcases, BrandonClayScouting.com, BrandonClayScouting Evaluation Reports, Brandon Clay Film Room Evals, Brandon Clay's Yearly Event Calendar, The Grassroots Alliance, Brandon Clay Training Select, Brandon Clay Brand Marketing","High school boys and girls basketball prospects in the Southeast region seeking increased brand recognition, elite training, and media coverage.",Atlanta,[],[],[],[],False,0.0
peachstatecandlesupply.com,success,,"['candle making supplies wholesale', 'liquid candle bases for sale', 'fragrance oils for candles', 'wholesale candle jars', 'bulk candle wicks']",Peach State Candle Supply,"Candle making supplies, liquid bases for room sprays and diffuser oils.","Individuals looking to create their own candles at home, hobbyists, and small business owners in the candle-making industry.",United States,[],[],[],[],True,0.0
peachstateco.com,success,,"['civil construction services Georgia', 'licensed utility contractor Peach State Construction', 'road construction companies Georgia', 'concrete installation contractors Covington GA', 'civil site development construction Georgia']",Peach State Construction Company,"Road construction, Concrete Installation, Civil Site Development",Government Agencies and Private Companies seeking civil construction services in Georgia.,"Covington, Georgia",[],"['770-788-6363info@peachstateco.com', 'info@peachstateco.com']",[''],[],False,0.0
