url,status,keywords,business_name,products_services,target_audience,location,headers,emails,phones,top_competitors,gmb_setup,non_indexed_pages,error
peachorchardapartments.com,success,"['luxury apartments in Augusta GA', 'affordable living spaces near I-20 Augusta', 'Peach Orchard Apartments amenities', 'apartment community with swimming pool Augusta', 'apartments with fitness center and dog park Augusta']",Peach Orchard Apartments,"Apartment rentals, Luxury apartments, Floor plans",Prospective renters seeking luxury living in Augusta,"3630 Peach Orchard Road, Augusta, GA 30906",[],['peachorchard@gatewaymgt.com'],[],"['https://www.peachorchardapartments.com', 'https://www.apartments.com', 'https://www.apartmentguide.com', 'https://www.redfin.com', 'https://www.rent.com']",Yes,0.0,
peachpaperdesign.com,success,"['custom wedding invitation design', 'small business branding services', 'unique wedding stationery', 'modern graphic design for businesses', 'high-quality watercolor designs']",Peach Paper & Design,"custom stationery, wedding invitations, small business branding, print shop prints",Engaged couples and creative entrepreneurs,US,[],[],[],"['https://www.basicinvite.com', 'https://www.shutterfly.com', 'https://lilyandroeco.com', 'https://www.canva.com', 'https://www.vistaprint.in']",No,101.0,
peachperfectskincare.com,success,"['full body waxing services Los Angeles', 'custom facial treatments West Hills CA', 'Brazilian bikini wax in California', 'rejuvenating spa body treatments near me', 'professional waxing and skincare solutions']",Peach Perfect,"Full Body Waxing, Eyebrow Shaping, Brazilian Bikini Wax, Custom Facials, Rejuvenating Body Treatments","Clients seeking professional waxing and facial services in West Hills, CA.","West Hills, CA",[],[],[''],"['https://www.fresha.com', 'https://booksy.com', 'https://brazilianhoneywaxing.com', 'http://peachperfectwaxing.com', 'https://square.site']",Yes,40.0,
peachpitgym.com,success,"['boutique gymnastics studio classes', 'competitive cheerleading teams training', 'gymnastics camps for children', 'dance company workshops and events', 'private gymnastics lessons in Atlanta']","The Peach Pit Gymnastics, LLC","Gymnastics, Cheerleading, Dance, Ninja, Trampoline & Tumbling",Parents seeking quality gymnastics and dance programs for children,"Atlanta, Georgia",[],"['theprado@peachpitgym.com', 'dance@peachpitgym.com', 'manager@peachpitgym.com', 'ssi@peachpitgym.com']",[''],"['https://www.peachpitgym.com', 'http://www.intowntumbling.com', 'http://buckheadgymnasticsandcheer.com', 'http://www.peachpitgym.com', 'https://www.gymnasticsacademyofatlanta.com']",Yes,43.0,
peachpitmusic.com,success,"['Peach Pit new album Magpie', 'Peach Pit electronic mailing list', 'Peach Pit tour merchandise', 'Download Peach Pit songs', 'Peach Pit social media updates']",Peach Pit,"New album 'Magpie', Songs Downloads, Tour Merchandise, Electronic Mailing List",Fans of Peach Pit's music and merchandise,US,[],[],[],"['https://www.peachpitmusic.com', 'https://music.apple.com', 'https://store.peachpitmusic.com', 'https://www.sonymusic.ca', 'https://open.spotify.com']",No,543.0,
peachpitpotteryshop.com,success,"['handcrafted ceramic pottery', 'artisanal pottery pieces', 'unique hand-painted ceramics', 'customized pottery collections', 'limited edition pottery items']",Peach Pit Pottery Shop,"ceramic pottery, artisan pottery, hand-painted ceramics",Art and craft enthusiasts seeking unique pottery pieces,US,[],['info@peachpitpotteryshop.com'],[],"['https://www.fitzandfloyd.com', 'https://potfarmbackyard.com', 'https://blackoakart.com', 'https://madeinwashington.com', 'https://jarsofdust.com']",Yes,2.0,
peach-pump.com,success,"['peach pump seamless leggings', 'gym clothing shaping effect leggings', 'black flare shaping gym leggings', 'breathable thick fabric grey leggings', 'sports bra with removable padding']",Peach Pump,"leggings, gym leggings, sport bras, jackets, sport sets, accessories",Fitness enthusiasts seeking stylish workout apparel,US,[],[],[],"['https://www.calzedonia.com', 'https://www.constantlyvariedgear.com', 'https://www.aliexpress.com', 'https://m.made-in-china.com', 'https://nvgtn.com']",Yes,3380.0,
peachstatebasketball.com,success,"['Brandon Clay All-American Showcase', 'Brandon Clay Elite 100 Showcase', 'Grassroots basketball tournaments', 'Brand marketing for basketball prospects', 'Girls basketball tournaments in Atlanta']",Peach State Basketball,"Basketball showcases, scouting reports, brand marketing, elite training, merchandise",High school and college basketball players and their families,US,[],[],[],"['https://prospectsnation.com', 'https://x.com', 'https://www.eliteisearned.com']",No,955.0,
peachstatecandlesupply.com,success,"['fragrance oil supplies for candle making', 'home products with concentrated mop soap base', 'alcohol-based room spray body spray base', 'all purpose cleaner fragrance oil', 'leather and brandy scent for home products']",Peach State Candle Supply,"fragrance oils, alcohol based room spray/body spray base, all purpose cleaner base, perfume base, reed/electric diffuser base, concentrated mop soap base",Candle makers and DIY enthusiasts,United States,[],[],[],"['https://wicksunlimited.com', 'https://www.air-aroma.com', 'https://vcandlesupplies.com', 'https://midwestfragranceco.com', 'https://lonestarcandlesupply.com']",Yes,300.0,
peachstateco.com,success,"['civil construction services Georgia', 'licensed utility contractor Covington', 'road construction company Georgia', 'concrete installation contractors Georgia', 'civil site development in Covington']",Peach State Construction Company,"Road construction, Concrete Installation, Civil Site Development",Government agencies and private companies needing civil construction services,"Covington, Georgia",[],"['770-788-6363info@peachstateco.com', 'info@peachstateco.com']",[''],"['https://www.dnb.com', 'http://www.braswellconstructiongroup.com', 'https://www.steelcobuildings.com', 'https://www.procore.com', 'https://www.malcoconstructioninc.com']",No,8.0,
