url,status,error,keywords,business_name,products_services,target_audience,location,headers,emails,phones
peachonaleash.com,success,,"['dog training Atlanta', 'Atlanta dog trainers', 'in-home dog training', 'board and train dog program', 'online dog training classes']",Peach on a Leash Dog Training and Behavior Services,"In-Home Private Dog Training, Board & Train, Group Classes, Online Dog Training, Puppy Training, Manners & Obedience, Leash Training, Aggression & Reactivity, Fearful & Shy Dogs, Therapy Dog Training","Individuals and families with dogs of all ages and breeds seeking expert dog training in the Atlanta area, specifically in Alpharetta, Georgia, and surrounding suburbs.","Alpharetta, Georgia, United States",[],['info@peachonaleash.com'],[]
peachorchardapartments.com,success,,"['luxury apartments in Augusta GA', 'affordable luxury living in Georgia', 'apartments near Augusta Mall', 'pet-friendly apartments in Augusta', 'Apartments with pool in Augusta']",Peach Orchard Apartments,"Apartments, floor plans, amenities","Individuals and families seeking luxury living at affordable prices, particularly those with pets, near Augusta Mall and major highways.","Augusta, GA",[],['peachorchard@gatewaymgt.com'],[]
peachpaperdesign.com,success,,"['custom stationery designs', 'wedding invitation design services', 'small business branding solutions', 'unique wedding stationery creation', 'graphic design for businesses']",Peach Paper & Design,"custom stationery, branding services, print shop","Brides and grooms planning their weddings, small business owners seeking modern branding solutions",United States,[],[],[]
peachperfectskincare.com,success,,"['waxing services near me', 'brazilian bikini wax west hills ca', 'full body waxing studio los angeles', 'custom facials in west hills california', 'spa body treatments for skin care']",Peach Perfect Skincare,"Full Leg Waxing, Brazilian Bikini Wax, Eyebrow Waxing & Shaping, European Facials, Spa Body Treatments","Women seeking hair removal and skincare services in the Los Angeles area, specifically those interested in waxing, facials, and body treatments for self-care and beauty.","West Hills, CA",[],[],['']
peachpitgym.com,success,,"['gymnastics classes for kids Atlanta', 'cheerleading classes near me', 'dance studios in Atlanta', 'tumbling and trampoline classes for children', 'all-star cheerleading teams in Georgia']","The Peach Pit Gymnastics, LLC","gymnastics, cheerleading, dance, ninja, trampoline & tumbling, private lessons, camps, holiday camps, summer camps, adult programming, toddler time/open play, gift cards, birthday parties","Families with children aged 1-18, living in the Atlanta area, seeking recreational and competitive sports activities for their kids.","Atlanta, Georgia",[],"['ssi@peachpitgym.com', 'dance@peachpitgym.com', 'manager@peachpitgym.com', 'theprado@peachpitgym.com']",['']
peachpitmusic.com,success,,"['indie rock music band', 'new album magpie peach pit', 'peach pit tour dates', 'magpie album download peach pit', 'peach pit music merchandise']",Peach Pit Music,"music, albums, tour tickets, merchandise","fans of indie rock music, individuals and groups interested in live concerts and music downloads.",Canada,[],[],[]
peachpitpotteryshop.com,success,,"['handmade pottery shop', 'ceramic art studio', 'unique home decor items', 'customizable pottery pieces', 'local artisans and craftspeople']",Peach Pit Pottery Shop,"Hand-painted ceramics, ceramic vases, unique home decor items, customizable pottery pieces.","Individuals and families seeking one-of-a-kind home decor and art pieces, possibly local customers interested in supporting artisans and craftspeople.",United States,[],['info@peachpitpotteryshop.com'],[]
peach-pump.com,error,"Error scraping https://peach-pump.com: HTTPSConnectionPool(host='peach-pump.com', port=443): Read timed out. (read timeout=10)",,,,,,,,
peachstatebasketball.com,success,,"['Brandon Clay basketball showcases', 'high school basketball tournaments in Atlanta', 'basketball recruiting services for college', 'brand marketing for high school athletes', 'grassroots basketball alliance']",Peach State Basketball,"Basketball Showcases, Evaluations, Brand Marketing, Training, College Recruiting Services","High school boys and girls basketball players in the Southeast region seeking college exposure, recruiting services, and brand marketing opportunities.",Atlanta,[],[],[]
peachstatecandlesupply.com,success,,"['candle making supplies online', 'fragrance oils for candle making', 'candle making wax types', 'customizable candle making supplies', 'wholesale candle making suppliers']",Peach State Candle Supply,"candle making supplies, fragrance oils, tumbler jars, room spray/body spray base, triple wick lid",Individuals and businesses looking for customizable candle making supplies and wholesale options.,United States,[],[],[]
peachstateco.com,success,,"['civil construction services', 'road construction companies near me', 'licensed utility contractor', 'concrete installation contractors in Georgia', 'civil site development services']",Peach State Construction Company,"Road construction, Concrete Installation, Civil Site Development","Small businesses and government agencies seeking civil construction services in the Covington, Georgia area.","Covington, Georgia",[],"['770-788-6363info@peachstateco.com', 'info@peachstateco.com']",['']
