url,status,error,keywords,business_name,products_services,target_audience,headers,emails,phones
peachonaleash.com,success,,"['dog training atlanta', 'puppy training north atlanta', 'aggressive dog training', 'therapy dog training atlanta', 'in home dog training services']",Peach on a Leash Dog Training and Behavior Services,"{'main_offering': 'Customized dog training programs for various needs and breeds', 'detailed_offerings': ['In-Home Private Dog Training', 'Board & Train Program'], 'unique_features': ['Lifetime support via Advanced Train & Maintain class, phone, email, and private Facebook community group', 'Certified trainers with extensive experience in training and behavior']}","{'demographics': 'Families with dogs of all ages and breeds living in Metro Atlanta and its northern suburbs', 'interests': ['Dog training and behavior modification', 'Pet care and wellness'], 'behaviors': ['Active search for dog training services online', 'Engagement with pet-related content on social media platforms']}",[],['info@peachonaleash.com'],[]
peachorchardapartments.com,success,,"['apartments in augusta ga', 'luxury living at affordable prices', 'peach orchard apartments for rent', 'Apartments near Augusta Mall', 'Apartment communities in Augusta GA']",Peach Orchard Apartments,"{'main_offering': 'Luxury Apartment Living', 'detailed_offerings': ['Spacious Floor Plans', 'Modern Amenities'], 'unique_features': ['Sparkling Swimming Pool', 'Computer Lab and Fitness Center']}","{'demographics': 'Middle to Upper-Middle Class Residents, aged 25-45', 'interests': ['Luxury Living', 'Convenient Location'], 'behaviors': ['Active in Fitness and Wellness', 'Family-Oriented with Children']}",[],['peachorchard@gatewaymgt.com'],[]
peachpaperdesign.com,success,,"['custom wedding invitations', 'small business branding services', 'unique wedding stationery design', 'watercolor wedding invitations', 'modern small business logo']",Peach Paper & Design,"{'main_offering': 'Custom Wedding Stationery and Small Business Branding', 'detailed_offerings': ['Wedding Invitation Design', 'Small Business Logo Creation'], 'unique_features': ['Watercolor Wedding Invitations', 'Unique Stationery Designs for Thoughtful Couples']}","{'demographics': 'Young adults and couples aged 25-40, primarily women', 'interests': ['Wedding planning and design', 'Graphic design and branding'], 'behaviors': ['Planning a wedding or small business launch', 'Seeking unique and high-quality stationery designs']}",[],[],[]
peachperfectskincare.com,success,,"['Brazilian bikini wax near me', 'custom facial treatments West Hills CA', 'full leg waxing cost', 'spa body treatments Los Angeles', 'eyebrow waxing and shaping prices']",Peach Perfect Skincare,"{'main_offering': 'Waxing Services', 'detailed_offerings': ['Full Leg Waxing', 'Brazilian Bikini Wax', 'Eyebrow Waxing & Shaping'], 'unique_features': ['Custom Facials and Rejuvenating Spa Body Treatments', 'Use of Premium-Quality Soft and Hard Waxes']}","{'demographics': 'Women aged 25-45, middle to upper-middle class, living in Los Angeles or surrounding areas', 'interests': ['Skincare and beauty treatments', 'Hair removal and waxing services'], 'behaviors': ['Regularly seeks out skincare and beauty treatments', 'Active on social media platforms such as Instagram and Facebook']}",[],[],['']
peachpitgym.com,success,,"['all-star-cheerleading-classes-atlanta', 'gymnastics-camps-for-kids-atlanta', 'dance-studio-in-collier-road-atlanta', 'tumbling-and-trampoline-classes-at-peach-pit-gym', 'private-gymnastics-lessons-for-adults']","The Peach Pit Gymnastics, LLC","{'main_offering': 'gymnastics, cheerleading, and dance classes for kids and adults', 'detailed_offerings': ['all-star cheerleading classes', 'competitive gymnastics training'], 'unique_features': ['Safe Sport certified coaches', 'camps and holiday programs available']}","{'demographics': 'parents of children aged 1-18, living in Atlanta and surrounding areas', 'interests': ['gymnastics', 'cheerleading', 'dance', ""kids' activities""], 'behaviors': [""active search for kids' extracurricular activities"", 'willingness to pay premium prices for high-quality instruction']}",[],"['manager@peachpitgym.com', 'ssi@peachpitgym.com', 'theprado@peachpitgym.com', 'dance@peachpitgym.com']",['']
peachpitmusic.com,success,,"['indie rock music bands', 'new album magpie peach pit', 'peach pit tour dates', 'peach pit merchandise online', 'indie alternative music artists']",Peach Pit Music,"{'main_offering': 'Indie Rock/Alternative Music', 'detailed_offerings': [""New album 'Magpie'"", 'Merchandise and Tour Dates'], 'unique_features': ['Electronic Mailing List Subscription', 'Social Media Presence on YouTube, Facebook, Instagram, TikTok, Twitter, and X']}","{'demographics': 'Young Adults (18-35) primarily from the United States, United Kingdom, and Canada', 'interests': ['Indie Rock/Alternative Music', 'New music releases'], 'behaviors': ['Frequent online shoppers of music merchandise', 'Active on social media platforms']}",[],[],[]
peachpitpotteryshop.com,success,,"['handmade pottery shops online', 'ceramic art store online', 'customized pottery gifts', 'unique home decor pottery', 'artist handmade ceramics']",Peach Pit Pottery Shop,"{'main_offering': 'Handmade Ceramics and Pottery', 'detailed_offerings': ['Customized Pottery Gifts', 'Unique Home Decor Items'], 'unique_features': ['Artist-designed pieces', 'High-quality materials used']}","{'demographics': 'Women and men aged 25-55, middle to upper-middle class', 'interests': ['Home decor and interior design', 'Art and craft collecting'], 'behaviors': ['Frequent online shoppers', 'Value unique and handmade products']}",[],['info@peachpitpotteryshop.com'],[]
peach-pump.com,success,,"['black seamless leggings', 'seamless grey leggings for women', 'fitness sports bras', ""women's gym clothing sets"", 'athleisure wear leggings']",Peach Pump,"{'main_offering': 'Gym and Yoga Clothing', 'detailed_offerings': ['Leggings', 'Sports Bras', 'Tops'], 'unique_features': ['Seamless fabric', 'Shaping and lifting effect']}","{'demographics': 'Women aged 18-45, active lifestyle enthusiasts', 'interests': ['Fitness', 'Yoga', 'Gym', 'Sports'], 'behaviors': ['Regular exercise, healthy eating, fashion-conscious individuals']}",[],[],[]
peachstatebasketball.com,success,,"['basketball showcases near me', 'high school basketball tournaments', 'college recruiting services for girls', 'brand marketing for high school athletes', 'grassroots basketball alliance events']",Peach State Basketball,"{'main_offering': 'Basketball Showcases and Events', 'detailed_offerings': ['College Recruiting Services for Girls', 'Brand Marketing for High School Athletes'], 'unique_features': ['The Grassroots Alliance presented by Brandon Clay Basketball', 'BrandonClayScouting Evaluation Reports']}","{'demographics': 'High school and college-aged female basketball players, parents, and coaches in the Southeast region of the United States.', 'interests': ['basketball', 'high school sports', 'college recruiting', 'brand marketing'], 'behaviors': ['Parents seeking college recruitment services for their daughters', 'High school basketball players looking to increase brand awareness and exposure']}",[],[],[]
peachstatecandlesupply.com,success,,"['candle making supplies wholesale', 'fragrance oils for candle making', 'wholesale candle making wax', 'custom candle making jars', 'candle making diffuser oils']",Peach State Candle Supply,"{'main_offering': 'Candle Making Supplies', 'detailed_offerings': ['Fragrance Oils', 'Candle Making Wax'], 'unique_features': ['Customizable Candle Jars', 'Free Shipping on Orders Over $100']}","{'demographics': 'Women aged 25-45, Middle to Upper-Class', 'interests': ['DIY Crafts', 'Home Decor', 'Scented Candles'], 'behaviors': ['Active on Social Media (Facebook, Instagram)', 'Frequent Online Shoppers']}",[],[],[]
peachstateco.com,success,,"['civil construction services', 'licensed utility contractors near me', 'road construction companies georgia', 'concrete installation contractors ga', 'civil site development company']",Peach State Construction Company,"{'main_offering': 'Civil Construction Services', 'detailed_offerings': ['Road Construction', 'Concrete Installation', 'Civil Site Development'], 'unique_features': ['Reliability and Efficiency', 'Highly-Trained Staff', 'Licensed Utility Managers and Foremen']}","{'demographics': 'Small to medium-sized businesses, government agencies, and private companies in the state of Georgia', 'interests': ['Construction services', 'Infrastructure development', 'Building maintenance'], 'behaviors': ['Decision-makers for construction projects', 'Business owners looking for reliable contractors', 'Individuals seeking employment opportunities in the construction industry']}",[],"['info@peachstateco.com', '770-788-6363info@peachstateco.com']",['']
