url,status,keywords,business_name,products_services,target_audience,headers,emails,phones,result,error
peachmyk.com,success,"['香港服裝', '台灣服裝', '韓國服裝品牌', '香港服飾', '亞洲服裝']",Peachmyk,"服裝,鞋款,手機配件,文創商品","亞洲地區的年輕人,尤其是香港、台灣和韓國市場中的18-35歲女性",[],[],[],,
peachofmind.com,success,"['halloween costumes for newborns', 'baby halloween costume ideas', 'budget-friendly halloween decorations', 'hocus pocus wreath decor', 'winnie the pooh baby shower theme']",Peach of Mind,"lifestyle blog, parenting tips, fashion advice, home decor inspiration","young mothers and parents seeking ideas for baby showers, halloween costumes, and home decor on a budget",[],[],[],,
peachonaleash.com,success,"['dog training Atlanta', 'elite dog training team', 'effective dog training solutions', 'expert dog training Metro Atlanta', 'private dog training Atlanta']",Peach on a Leash Dog Training and Behavior Services,"in-home private dog training, board & train, group classes, online dog training, puppy training, manners, obedience, therapy dog training, aggressive dog training, reactive dog training","Families in the north Atlanta area seeking expert dog training services for their dogs of all ages and breeds, with a focus on personalized service and support.",[],['info@peachonaleash.com'],[],,
peachorchardapartments.com,success,"['luxury apartments in Augusta GA', 'affordable luxury living in Augusta', 'apartments near Augusta Mall', 'pet friendly apartments in Augusta', 'Apartments with amenities in Augusta']",Peach Orchard Apartments,"Apartments, Floor plans, Amenities, Luxury Living","Individuals and families seeking affordable luxury living in Augusta, GA, with a focus on convenience, amenities, and pet-friendliness.",[],['peachorchard@gatewaymgt.com'],[],,
peachpalettedesign.com,success,"['home decor online store', 'interior design inspiration website', 'furniture shopping online', 'online home goods retailer', 'home furnishings e-commerce']",,,,[],[],[''],,
peachpaperdesign.com,success,"['wedding invitation design', 'small business branding services', 'custom stationery', 'unique wedding stationery', 'modern branding for small businesses']",Peach Paper & Design,"custom stationery, custom printing services, small business branding, wedding invitation design","Bridal couples seeking unique and personalized wedding invitations, as well as small business owners looking for professional branding services.",[],[],[],,
peachpeonyfashion.com,error,,,,,,,,,"Error scraping https://peachpeonyfashion.com: HTTPSConnectionPool(host='peachpeonyfashion.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f9b50b167a0>: Failed to resolve 'peachpeonyfashion.com' ([Errno -3] Temporary failure in name resolution)""))"
peachperfectskincare.com,success,"['waxing services near me', 'Brazilian bikini wax cost', 'full leg waxing price', 'custom facial treatments', 'spa body treatments West Hills CA']",Peach Perfect,"Full Leg Waxing, Brazilian Bikini Wax, Eyebrow Waxing & Shaping, European Facials, Spa Body Treatments","Women and individuals seeking semi-permanent hair removal services and custom facial treatments in the West Hills, CA area",[],[],[''],,
peachpiepups.com,error,,,,,,,,,"Error scraping https://peachpiepups.com: HTTPSConnectionPool(host='peachpiepups.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f9b50a18d90>: Failed to resolve 'peachpiepups.com' ([Errno -2] Name or service not known)""))"
peachpitgym.com,success,"['gymnastics classes for kids atlanta', 'cheerleading programs atlanta ga', 'dance studios in atlanta georgia', 'tumbling and trampoline training atlanta', 'all star cheerleading teams near me']","The Peach Pit Gymnastics, LLC","gymnastics, cheerleading, dance, ninja, trampoline & tumbling classes, camps, private lessons, adult programming, birthday parties, gift cards",Families with young children in the Atlanta metropolitan area seeking recreational and competitive sports programs for their kids,[],"['dance@peachpitgym.com', 'manager@peachpitgym.com', 'theprado@peachpitgym.com', 'ssi@peachpitgym.com']",[''],,
peachpitmusic.com,success,"['indie rock band', 'Canadian indie rock music', 'new album magpie peach pit', 'peach pit tour dates', 'indie rock concerts']",Peach Pit Music,"Music, Merchandise, Concerts/Tours","Demographics: Young adults (18-35) who are fans of indie rock music. Intent: To purchase merchandise, attend concerts, and stream/download the band's music.",[],[],[],,
