url,status,keywords,business_name,products_services,target_audience,location,headers,emails,phones,top_competitors,gmb_setup,non_indexed_pages
peachorchardapartments.com,success,"['peach orchard apartments augusta ga', 'luxury living at affordable prices', 'apartments in augusta ga near 520 and i20', 'peach orchard road augusta ga rentals', 'affordable luxury apartment communities in georgia']",Peach Orchard Apartments,"Apartments, Luxury Living, Rentals",Individuals seeking Affordable Luxury Accommodations,"Augusta, GA 30906",[],['peachorchard@gatewaymgt.com'],[],"['https://www.peachorchardapartments.com', 'https://www.apartments.com', 'https://www.apartmentguide.com', 'https://www.rent.com', 'https://www.augustametrochamber.com']",Yes,0
peachpaperdesign.com,success,"['wedding invitation design', 'small business branding services', 'custom stationery design', 'unique wedding stationery', 'modern branding for businesses']",Peach Paper & Design,"Custom stationery, branding services, print shop rentals",Women planning a wedding or small business owners seeking custom branding solutions,US,[],[],[],"['https://www.trulyengaging.com', 'https://www.basicinvite.com', 'https://www.vivahcards.com', 'https://www.theamericanwedding.com', 'https://www.canva.com']",No,117
peachperfectskincare.com,success,"['Brazilian bikini wax near me', 'full body waxing services', 'eyebrow shaping and waxing', 'European facial treatments', 'spa body treatments for skin']",Peach Perfect Skincare,"Full Leg Waxing, Brazilian Bikini Wax, Eyebrow Waxing & Shaping, European Facials, Spa Body Treatments",Women seeking beauty and skincare services,"West Hills, CA",[],[],[''],"['https://www.fresha.com', 'https://brazilianhoneywaxing.com', 'https://booksy.com', 'https://locations.waxcenter.com', 'https://www.styleseat.com']",Yes,57
peachpitgym.com,success,"['gymnastics classes for kids', 'cheerleading teams in Atlanta GA', 'dance studio near me', 'ballet classes for children', 'tumbling and trampoline training']","The Peach Pit Gymnastcs, LLC","gymnastics, cheerleading, dance, ninja, trampoline & tumbling classes, camps, private lessons, adult programming",Parents seeking physical activity for their children,"Atlanta, GA",[],"['ssi@peachpitgym.com', 'dance@peachpitgym.com', 'theprado@peachpitgym.com', 'manager@peachpitgym.com']",[''],['://'],Yes,43
peachpitmusic.com,success,"['indie rock music band', 'new album magpie peach pit', 'peach pit tour dates', 'peach pit merch shopping', 'indie alternative music artists']",Peach Pit Music,"Albums, Merchandise, Tours, Music Downloads",Young Adults interested in Indie Rock Music,US,[],[],[],"['https://www.quora.com', 'https://www.last.fm', 'https://www.melophobemusic.com', 'https://www.desertislandcloud.com', 'http://www.americanpridemagazine.com']",No,532
peachpitpotteryshop.com,success,"['handmade pottery studio', 'ceramic art shop online', 'unique home decor items', 'customizable pottery gifts', 'artistic ceramic products']",Peach Pit Pottery Shop,"handmade ceramics, custom pottery, unique home decor",Home Decor Enthusiasts seeking unique pieces,US,[],['info@peachpitpotteryshop.com'],[],"['https://mudluvpotterystudio.com', 'https://pawleystudios.com', 'https://ellisonbaypotterystudios.com', 'https://www.oneacreceramics.com', 'https://www.localpottery.com']",Yes,2
peach-pump.com,success,"['seamless leggings', 'gym clothing for women', 'yoga clothing for women', 'sports bras for women', 'leggings with pockets']",Peach Pump,"Leggings, Gym leggings, Sports Bras, Tops, Jackets, Sport Sets, Shorts",Women interested in Fitness and Yoga Clothing,Bulgaria,[],[],[],"['https://squatwolf.com', 'https://quellclub.com', 'https://sisterlytribe.com', 'https://themisaga.com', 'https://www.nextdirect.com']",Yes,3200
peachstatebasketball.com,success,"['basketball showcases near me', 'Brandon Clay All-American Showcase', 'Elite 100 Showcase Indianapolis', 'Girls Tourneys Atlanta events', 'Grassroots Alliance college exposure']",Peach State Basketball,"basketball showcases, scouting reports, brand marketing profiles, recruiting news, evaluations",Women seeking Women's basketball rankings and news,Atlanta,[],[],[],[],No,993
peachstatecandlesupply.com,success,"['candle making supplies wholesale', 'fragrance oils for candle making', 'candle making wax and wicks', 'customizable candle making materials', 'DIY room spray and diffuser oil']",Peach State Candle Supply,"Fragrance Oils, Candle Making Supplies, Room Spray/Body Spray Base, All Purpose Cleaner Base, Perfume Base, Reed/Electric Diffuser Base, Concentrated Mop Soap Base",Crafty Individuals and Small Business Owners,United States,[],[],[],"['https://www.wholesalesuppliesplus.com', 'https://vcandlesupplies.com', 'https://www.theflamingcandle.com', 'https://lonestarcandlesupply.com', 'https://www.candlescience.com']",Yes,317
peachstateco.com,success,"['civil construction services', 'road construction companies', 'licensed utility contractors', 'concrete installation services', 'civil site development projects']",Peach State Construction Company,"Road construction, Concrete Installation, Civil Site development",Construction Companies and Government Agencies,"Covington, Georgia",[],"['info@peachstateco.com', '770-788-6363info@peachstateco.com']",[''],"['https://jacocontracting.com', 'https://dhpbuilders.com', 'http://www.braswellconstructiongroup.com', 'https://www.dnb.com', 'https://www.houzz.com']",No,8
