url,status,keywords,business_name,products_services,target_audience,emails,phones,articles,error
peachmyk.com,error,,,,,,,,"Error scraping https://peachmyk.com: HTTPSConnectionPool(host='peachmyk.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1007)')))"
peachofmind.com,error,,,,,,,,Error in Ollama analysis: No valid JSON found in response
peachonaleash.com,success,"['dog training', 'Atlanta', 'Peach on a Leash', 'board and train', 'in-home training', 'group classes']",Peach on a Leash Dog Training and Behavior Services,"Full-service dog training company offering in-person and online dog training programs and services, including puppy training, manners, obedience, aggression, fearful/shy dogs, therapy dog training, board and train, and group classes for puppies and adult dogs.",,['info@peachonaleash.com'],[],,
peachorchardapartments.com,success,"['Peach Orchard Apartments', 'Augusta', 'GA', 'apartment', 'luxury living', 'affordable prices', 'neighborhood', 'location', 'amenities', 'tour', 'schedule tour']",Peach Orchard Apartments,"Luxury living at affordable prices in Augusta, GA. Nestled away in a convenient location with amenities for your enjoyment.",Individuals and families looking for luxury living at affordable prices in the Augusta area.,['peachorchard@gatewaymgt.com'],[],,
peachpalettedesign.com,success,"['Peach Palettes Design', 'store unavailable', 'previous page', 'Return']",Peach Palettes Design,,,[],[''],,
peachpaperdesign.com,success,"['wedding invitation design', 'small business branding', 'graphic design', 'stationery', 'watercolor', 'unique wedding stationery']",Peach Paper & Design,custom stationery branding shop rentals about contact Cart ( $ 0.00 ),,[],[],,
peachpeonyfashion.com,error,,,,,,,,"Error scraping https://peachpeonyfashion.com: HTTPSConnectionPool(host='peachpeonyfashion.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7fd612b74a90>: Failed to resolve 'peachpeonyfashion.com' ([Errno -2] Name or service not known)""))"
peachperfectskincare.com,success,"['waxing', 'facials', 'body treatments', 'hair removal', 'skincare']",Peach Perfect,"full body waxing, eyebrow shaping, signature Brazilian bikini wax, custom facials, rejuvenating body treatments",,[],[''],,
peachpiepups.com,error,,,,,,,,"Error scraping https://peachpiepups.com: HTTPSConnectionPool(host='peachpiepups.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7fd60079e080>: Failed to resolve 'peachpiepups.com' ([Errno -3] Temporary failure in name resolution)""))"
peachpitgym.com,success,"['gymnastics', 'cheerleading', 'dance', 'ninja', 'trampoline', 'tumbling']",The Peach Pit GymNAstics,"Gymnastics, Cheerleading, Dance, Ninja, Trampoline & Tumbling classes and camps for kids and adults",Parents of children aged 1-18 and adults looking to stay active and healthy,"['theprado@peachpitgym.com', 'ssi@peachpitgym.com', 'dance@peachpitgym.com', 'manager@peachpitgym.com']",[''],,
peachpitmusic.com,error,,,,,,,,Error in Ollama analysis: Unterminated string starting at: line 5 column 20 (char 307)
